strategy_id,family,kill_switch_status,reasons,usable_as,evidence
index_opening_drive_lab_fb_or5_w09351000_dlong_only_ema0_vwap0_voloff_xtime_stop_1030,index_opening_drive_lab :: FB_OR5_W09351000_Dlong_only_EMA0_VWAP0_VOLoff_Xtime_stop_1030,blocked,"Exact local source/config lineage is missing, so the kill switch cannot be adjudicated honestly on a runnable reconstruction.",blocked,registry blocked status
tv_pvt_top5_finalists_vix_vxx_60m,tv_pvt_top5_finalists :: vix_vxx_60m,blocked,"Exact local source/config lineage is missing, so the kill switch cannot be adjudicated honestly on a runnable reconstruction.",blocked,registry blocked status
tv_pvt_top5_finalists_iwm_15m,tv_pvt_top5_finalists :: iwm_15m,blocked,"Exact local source/config lineage is missing, so the kill switch cannot be adjudicated honestly on a runnable reconstruction.",blocked,registry blocked status
codex_leveraged_pipeline_out_base_20260103_122420,codex_leveraged_pipeline :: out_base_20260103_122420,blocked,"Exact local source/config lineage is missing, so the kill switch cannot be adjudicated honestly on a runnable reconstruction.",blocked,registry blocked status
tv_squeeze_top5_finalists_tsla_30m,tv_squeeze_top5_finalists :: TSLA_30m,failed,The authoritative inventory itself says to treat the artifact as likely overfit until independently validated.,promotion_ineligible,top10_authoritative_inventory.txt
flux_signal_engine_top20_2025_msft_residual_survivor,flux_signal_engine_top20_2025 :: MSFT residual survivor,blocked,"Exact local source/config lineage is missing, so the kill switch cannot be adjudicated honestly on a runnable reconstruction.",blocked,registry blocked status
project_smart_money_concepts_family,Project Smart Money Concepts Family,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
project_sqzmom_lb_family,Project SQZMOM LB Family,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
project_supertrend_family,Project SuperTrend Family,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
project_rsi_cyclic_smoothed_family,Project RSI Cyclic Smoothed Family,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
project_combo_consensus_family,Project Combo Consensus Family,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
luxalgo_fvg_backtest_family,LuxAlgo FVG Backtest Family,failed,"The local run is explicitly partial, and the minute-resolution path collapses badly enough that the family is not promotion-safe.",research_only,fvg_backtest/results/report.md and summaries
qqq_gap_prob_tool_signal_layer,QQQ Gap Probability Tool,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
qqq_range_engine_signal_layer,QQQ Range Engine,passed,"Supporting model layer, not a standalone strategy engine.",supporting_signal_layer,repo-backed signal tooling
qqq_same_day_scan_signal_layer,QQQ Same-Day Scan,passed,"No direct kill-switch trigger was logged, but evidence quality is not strong enough for promotion.",research_only,registry evidence stack
qqq_today_nowcast_signal_layer,QQQ Today Nowcast,passed,"Supporting model layer, not a standalone strategy engine.",supporting_signal_layer,repo-backed signal tooling
