strategy_id,family,translation_status,resolved_trades,unresolved_trades,final_equity,total_return_pct,max_drawdown_pct,Sharpe,profit_factor,win_rate,notes
flux_signal_engine_top20_2025_msft_residual_survivor,flux_signal_engine_top20_2025 :: MSFT residual survivor,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
project_smart_money_concepts_family,Project Smart Money Concepts Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
project_sqzmom_lb_family,Project SQZMOM LB Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
project_supertrend_family,Project SuperTrend Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
project_rsi_cyclic_smoothed_family,Project RSI Cyclic Smoothed Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
project_combo_consensus_family,Project Combo Consensus Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
luxalgo_fvg_backtest_family,LuxAlgo FVG Backtest Family,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
qqq_gap_prob_tool_signal_layer,QQQ Gap Probability Tool,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
qqq_range_engine_signal_layer,QQQ Range Engine,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
qqq_same_day_scan_signal_layer,QQQ Same-Day Scan,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
qqq_today_nowcast_signal_layer,QQQ Today Nowcast,blocked,0,0,,,,,,,Blocked because the single-leg realism gate already failed and no neutral structures were force-fit onto directional signals.
