canonical_strategy_id,registry_type,family_name,aliases,source_files,source_repo_folder,source_provenance,asset_universe,timeframe,directionality,execution_assumptions,exact_known_parameters,reconstruction_status,evidence_quality,prior_audited_metrics,major_risks,eligible_for_underlying_tournament,eligible_for_options_single_leg_translation,eligible_for_multi_leg_translation
older_corrected_day_of_week_vol_regime_breakout_baseline_cluster,canonical_family,Older Corrected Day-of-Week / Vol-Regime / Breakout Baseline Cluster,day_of_week; vol_regime; breakout in alpaca-strategy-research,best_strategies_consolidated.txt; alpaca-strategy-research/data/reports/research_report.md,C:\Users\rabisaab\Downloads\alpaca-strategy-research,master_memo,SPY and QQQ,Daily,mixed,Corrected holds of about 1 bar for day_of_week and 5 bars for vol_regime and breakout,"Weekday pattern rules, volatility-regime switching, and simple breakout trend-following",exact,low,day_of_week ending equity 100303.16; vol_regime 99835.00; breakout 98443.60; none beat benchmarks; corrected breakout was clearly negative,"Weak or negative out-of-sample returns, no benchmark edge",yes,partial,no
options_vertical_spread_wrappers,canonical_family,Options Vertical-Spread Wrappers,vertical_spread_short_dated; vertical_spread_swing_dated,best_strategies_consolidated.txt; alpaca-strategy-research/data/reports/options_research_results.csv; alpaca-strategy-research/PHASE2_STOP.md; alpaca-strategy-research/data/reports/research_report.md,C:\Users\rabisaab\Downloads\alpaca-strategy-research,master_memo,SPY and QQQ options,Very short overlap windows in 2026,mixed,Spread payoff over narrow overlap windows; detailed exit mechanics were not the reliable point of this packet,Defined-risk option spreads wrapped around frozen stock strategies,partial,medium,"Some rows showed spectacular headline returns over 5 to 13 trading days, but the same report says they are not economically meaningful after costs",Data validity problem overwhelms the strategy results,no,no,no
tradingview_reference_ideation_scripts_cluster,canonical_family,TradingView Reference / Ideation Scripts Cluster,LogNormal SQQQ 1min Strategy v6; Hull Suite Strategy; SuperTrend Strategy; Strategy library files,best_strategies_consolidated.txt; TV Strategies/LogNormal SQQQ 1min Strategy v6.pine; TV Strategies/Hull Suite Strategy by DashTrader.txt; TV Strategies/SuperTrend Strategy.txt; TV Strategies/Strategy.txt,C:\Users\rabisaab\Downloads\TV Strategies,master_memo,Mostly generic; one explicit SQQQ 1-minute script,Mostly script-level; LogNormal explicitly targets 1-minute,mixed,"Script-defined stops, targets, and time exits where present","Varies by script; examples include log-return z-score extremes, Hull direction flips, and ATR-based SuperTrend reversals",partial,low,No trustworthy result packets were found alongside the scripts,"No validated reports, no operational packet, and unclear provenance of backtests",no,no,no
tv_pvt_top5_finalists_tsla_30m,authoritative_top10_variant,tv_pvt_top5_finalists :: tsla_30m,breakout_confirmation / pvt_roc,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt,,top10_file,TSLA,30m,mixed,"next_open, RTH only, no_lookahead, 2 bps per side",,blocked,high,"trades=487; win_rate=0.511294; profit_factor=2.584840; expectancy=20.677012; max_drawdown_pct=0.003959; consistency=6/6 positive years; validation=validation_pass=True, test_pass=True",best direct-underlying stock paper candidate,yes,partial,partial
index_opening_drive_lab_fb_or15_w09351000_dlong_only_ema0_vwap0_voloff_xtime_stop_1030,authoritative_top10_variant,index_opening_drive_lab :: FB_OR15_W09351000_Dlong_only_EMA0_VWAP0_VOLoff_Xtime_stop_1030,opening drive continuation,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt,,top10_file,SPY/QQQ/IWM opening-drive workflow,1m opening drive,mixed,"next-bar, RTH only, no overnight holds",,blocked,high,combined_trades=221; combined_profit_factor=2.247960; combined_return_pct=16.880584; combined_sharpe=4.803461; combined_max_drawdown_pct=2.807224; validation=passes_final_credibility=True,"strongest process discipline, not promoted yet",yes,partial,partial
tv_pvt_top5_finalists_nvda_30m,authoritative_top10_variant,tv_pvt_top5_finalists :: nvda_30m,breakout_confirmation / raw_pvt,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt,,top10_file,NVDA,30m,mixed,"next_open, RTH only, no_lookahead, 2 bps per side",,blocked,high,"trades=520; win_rate=0.530769; profit_factor=2.441635; expectancy=18.171218; max_drawdown_pct=0.004030; consistency=5/6 positive years; validation=validation_pass=True, test_pass=True",credible secondary finalist,yes,partial,partial
tv_pvt_top5_finalists_vix_vxx_30m,authoritative_top10_variant,tv_pvt_top5_finalists :: vix_vxx_30m,breakout_confirmation / pvt_roc,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt,,top10_file,VIX signal -> VXX trade proxy,30m,mixed,"next_open, RTH only, no_lookahead, 2 bps per side",,blocked,high,"trades=264; win_rate=0.636364; profit_factor=6.903371; expectancy=59.519560; max_drawdown_pct=0.001946; consistency=6/6 positive years; validation=validation_pass=True, test_pass=True",best proxy-based experimental candidate,yes,partial,partial
index_opening_drive_lab_fb_or5_w09351000_dlong_only_ema0_vwap0_voloff_xtime_stop_1030,authoritative_top10_variant,index_opening_drive_lab :: FB_OR5_W09351000_Dlong_only_EMA0_VWAP0_VOLoff_Xtime_stop_1030,opening drive continuation,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt,,top10_file,SPY/QQQ/IWM opening-drive workflow,1m opening drive,mixed,"next-bar, RTH only, no overnight holds",,blocked,high,combined_trades=205; combined_profit_factor=2.247361; combined_return_pct=15.144497; combined_sharpe=4.745713; combined_max_drawdown_pct=2.844462; validation=passes_final_credibility=True,"strong shadow benchmark, not promoted",yes,partial,partial
tv_pvt_top5_finalists_vix_vxx_60m,authoritative_top10_variant,tv_pvt_top5_finalists :: vix_vxx_60m,thresholded_normalized_pvt / normalized_pvt,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt,,top10_file,VIX signal -> VXX trade proxy,60m,mixed,"next_open, RTH only, no_lookahead, 2 bps per side",,blocked,high,"trades=179; win_rate=0.642458; profit_factor=7.267063; expectancy=64.502087; max_drawdown_pct=0.001107; consistency=6/6 positive years; validation=validation_pass=True, test_pass=True",best backup candidate,yes,partial,partial
tv_pvt_top5_finalists_iwm_15m,authoritative_top10_variant,tv_pvt_top5_finalists :: iwm_15m,pvt_divergence_proxy / raw_pvt,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt,,top10_file,IWM,15m,mixed,"next_open, RTH only, no_lookahead, 2 bps per side",,blocked,high,"trades=118; win_rate=0.525424; profit_factor=1.694151; expectancy=7.876699; max_drawdown_pct=0.002311; consistency=4/6 positive years; validation=validation_pass=True, test_pass=True",weaker but still real research artifact,yes,partial,partial
codex_leveraged_pipeline_out_base_20260103_122420,authoritative_top10_variant,codex_leveraged_pipeline :: out_base_20260103_122420,leveraged ETF trend basket,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt,,top10_file,leveraged ETF basket,1m,mixed,,ema_fast=20; ema_slow=50; atr_len=14; stop_atr=0.45; target_atr=4.0; time_stop_min=45; start_equity=1800; risk_frac=0.05; max_risk_cap=90; max_concurrent_positions=1; slip_bps=3; fee_per_side=0,blocked,high,trades=2419; win_rate_pct=18.974783; profit_factor=1.244707; return_pct=86.599208; max_drawdown_pct=10.028691; avg_r=0.195182,interesting but still research-only,yes,partial,no
tv_squeeze_top5_finalists_tsla_30m,authoritative_top10_variant,tv_squeeze_top5_finalists :: TSLA_30m,squeeze multitimeframe,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt,,top10_file,TSLA,30m,mixed,"strict next_open, RTH only, no_lookahead",,partial,high,trades=285; win_rate=0.936842; profit_factor=240.648511; expectancy_pct=0.004678264,"recreate exactly, but treat as likely overfit and untrustworthy until independently validated",yes,partial,partial
flux_signal_engine_top20_2025_msft_residual_survivor,authoritative_top10_variant,flux_signal_engine_top20_2025 :: MSFT residual survivor,opening-bias signal engine,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt,,top10_file,MSFT-centered residual survivor from a broader opening-bias signal engine,,mixed,"offline minute-bar signal engine, no-lookahead alignment, next-bar style execution, portfolio slot management",,blocked,medium,,,yes,no,no
project_smart_money_concepts_family,repo_verified_family,Project Smart Money Concepts Family,smart_money_concepts,C:\Users\rabisaab\project\outputs\deployment\phase5_candidate_registry.csv,C:\Users\rabisaab\project,repo_verified,Project intraday universe,1h highlighted; multiple intraday frames exist,long_short,eod_flatten overlays in deployment packets,"{""native_params"":{""equal_highs_lows_length"":3,""equal_highs_lows_threshold"":0.1,""fair_value_gap_auto_threshold"":true,""fair_value_gap_extend"":1,""internal_confluence_filter"":false,""order_block_filter_mode"":""Atr"",""order_block_mitigation_mode"":""Close"",""required_confluence_count"":2,""swings_length"":20,""use_equal_highs_lows"":false,""use_fair_value_gaps"":true,""use_internal_structure"":true,""use_order_blocks"":false,""use_premium_discount_zones"":true,""use_swing_structure"":false},""overlays"":{""cooldown_bars"":1,""eod_flatten"":true,""exit_policy"":""opposite_signal"",""max_bars_in_trade"":5,""side_mode"":""long_short"",""stop_atr_mult"":null,""take_profit_atr_mult"":null}}",exact,medium,"Best live-like row: META 1h, win_rate=56.6667, profit_factor=519.4958, expectancy=0.004409, trades=21",No GO_PAPER candidate; shadow_only or watchlist only; thin trade counts.,yes,partial,partial
project_sqzmom_lb_family,repo_verified_family,Project SQZMOM LB Family,sqzmom_lb,C:\Users\rabisaab\project\outputs\reports\phase5_deployment_report.md,C:\Users\rabisaab\project,repo_verified,Project intraday universe,30m highlighted; multiple intraday frames exist,long_short,eod_flatten overlays in deployment packets,"{""native_params"":{""bb_length"":14,""bb_mult"":1.5,""kc_length"":20,""kc_mult"":1.0,""use_true_range"":true},""overlays"":{""cooldown_bars"":1,""eod_flatten"":false,""exit_policy"":""opposite_or_eod"",""max_bars_in_trade"":8,""side_mode"":""long_short"",""stop_atr_mult"":null,""take_profit_atr_mult"":null}}",exact,medium,Phase-5 TSLA 30m family is watchlist-only with 51.2821% live-like OOS win rate and 16 trades.,Exact identity versus external tv_squeeze finalist is unproven; still watchlist only.,yes,partial,partial
project_supertrend_family,repo_verified_family,Project SuperTrend Family,supertrend,C:\Users\rabisaab\project\strategies\supertrend.py,C:\Users\rabisaab\project,repo_verified,Project intraday universe,Multiple intraday frames,long_short,project overlays,Family implementation and parameter spaces exist locally.,exact,low,No final phase-5 leader packet found.,Subordinate family in decision-grade project reports.,yes,partial,partial
project_rsi_cyclic_smoothed_family,repo_verified_family,Project RSI Cyclic Smoothed Family,rsi_cyclic_smoothed,C:\Users\rabisaab\project\strategies\rsi_cyclic_smoothed.py,C:\Users\rabisaab\project,repo_verified,Project intraday universe,Multiple intraday frames,long_short,project overlays,Family implementation and parameter spaces exist locally.,exact,low,No final phase-5 leader packet found.,Subordinate family in decision-grade project reports.,yes,partial,partial
project_combo_consensus_family,repo_verified_family,Project Combo Consensus Family,combos,C:\Users\rabisaab\project\strategies\combos.py,C:\Users\rabisaab\project,repo_verified,Project intraday universe,Multiple intraday frames,mixed,vote_mode and combo overlays,Large combo grids exist locally.,exact,low,Many combo rows exist but no GO_PAPER candidate.,Search breadth and overfit risk are high.,yes,no,no
luxalgo_fvg_backtest_family,repo_verified_family,LuxAlgo FVG Backtest Family,FVG / fair value gap,C:\Users\rabisaab\fvg_backtest\results\summary_by_strategy_daily.csv,C:\Users\rabisaab\fvg_backtest,repo_verified,74-symbol daily stock/ETF universe plus partial SPY/QQQ/VXX minute data,Daily and partial 1m,long_short,config.yaml uses commission_bps=2 and slippage_bps=1,pine_exact / normalized_htf / trade_safe / pine_visual / lifecycle / exit-style grids exist locally.,partial,medium,"Best daily row net_return=86.802013, profit_factor=1.526498; worst minute row net_return=-0.998235, max_drawdown=-1.000283",Saved run is partial; 77 minute tasks remain incomplete.,yes,partial,no
qqq_gap_prob_tool_signal_layer,supporting_signal_layer,QQQ Gap Probability Tool,qqq_gap_prob_tool,C:\Users\rabisaab\qqq_gap_prob_tool\qqq_gap_prob_tool_report.md,C:\Users\rabisaab\qqq_gap_prob_tool,repo_verified,QQQ,Daily open-context model,supporting_model,open-known inputs only,shrink_50 smoothing winner,exact,medium,No validated >60% close-in-range holdout statement with healthy counts.,"Supporting layer only, not a standalone strategy engine.",no,no,no
qqq_range_engine_signal_layer,supporting_signal_layer,QQQ Range Engine,qqq_range_engine,C:\Users\rabisaab\qqq_range_engine\qqq_range_engine_report.md,C:\Users\rabisaab\qqq_range_engine,repo_verified,QQQ,Daily open-context model,supporting_model,only information known at the open,gap_only engine,exact,medium,No validated >60% holdout statement met sample conditions.,"Supporting layer only, not a standalone strategy engine.",no,no,no
qqq_same_day_scan_signal_layer,supporting_signal_layer,QQQ Same-Day Scan,qqq_same_day_scan,C:\Users\rabisaab\qqq_scan\qqq_same_day_scan_report.md,C:\Users\rabisaab\qqq_scan,repo_verified,QQQ,Daily feature scan,supporting_model,local QQQ daily data only,gap_pct and open-relative features were the strongest descriptive effects.,exact,medium,Holdout predictive effects were modest.,"Signal research only, not a trade engine.",no,no,no
qqq_today_nowcast_signal_layer,supporting_signal_layer,QQQ Today Nowcast,qqq_today_nowcast,C:\Users\rabisaab\qqq_today_nowcast\today_nowcast.md,C:\Users\rabisaab\qqq_today_nowcast,repo_verified,QQQ,Daily snapshot,supporting_model,snapshot output only,Daily nowcast tables and JSON outputs.,exact,low,No backtest packet found.,"Snapshot helper only, not a strategy engine.",no,no,no
