strategy_id,family,reproduction_scope,reproduction_status,original_reported_metrics,reproduced_metrics,absolute_drift_summary,percent_drift_summary,reason_for_drift,final_baseline_confidence,source_evidence
tv_pvt_top5_finalists_nvda_30m,tv_pvt_top5_finalists :: nvda_30m,native baseline rerun,blocked,"trades=520; win_rate=0.530769; profit_factor=2.441635; expectancy=18.171218; max_drawdown_pct=0.004030; consistency=5/6 positive years; validation=validation_pass=True, test_pass=True",,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
tv_pvt_top5_finalists_vix_vxx_30m,tv_pvt_top5_finalists :: vix_vxx_30m,native baseline rerun,blocked,"trades=264; win_rate=0.636364; profit_factor=6.903371; expectancy=59.519560; max_drawdown_pct=0.001946; consistency=6/6 positive years; validation=validation_pass=True, test_pass=True",,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
index_opening_drive_lab_fb_or5_w09351000_dlong_only_ema0_vwap0_voloff_xtime_stop_1030,index_opening_drive_lab :: FB_OR5_W09351000_Dlong_only_EMA0_VWAP0_VOLoff_Xtime_stop_1030,native baseline rerun,blocked,combined_trades=205; combined_profit_factor=2.247361; combined_return_pct=15.144497; combined_sharpe=4.745713; combined_max_drawdown_pct=2.844462; validation=passes_final_credibility=True,,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
tv_pvt_top5_finalists_vix_vxx_60m,tv_pvt_top5_finalists :: vix_vxx_60m,native baseline rerun,blocked,"trades=179; win_rate=0.642458; profit_factor=7.267063; expectancy=64.502087; max_drawdown_pct=0.001107; consistency=6/6 positive years; validation=validation_pass=True, test_pass=True",,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
tv_pvt_top5_finalists_iwm_15m,tv_pvt_top5_finalists :: iwm_15m,native baseline rerun,blocked,"trades=118; win_rate=0.525424; profit_factor=1.694151; expectancy=7.876699; max_drawdown_pct=0.002311; consistency=4/6 positive years; validation=validation_pass=True, test_pass=True",,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
codex_leveraged_pipeline_out_base_20260103_122420,codex_leveraged_pipeline :: out_base_20260103_122420,native baseline rerun,blocked,trades=2419; win_rate_pct=18.974783; profit_factor=1.244707; return_pct=86.599208; max_drawdown_pct=10.028691; avg_r=0.195182,,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
tv_squeeze_top5_finalists_tsla_30m,tv_squeeze_top5_finalists :: TSLA_30m,native baseline rerun,not_completed,trades=285; win_rate=0.936842; profit_factor=240.648511; expectancy_pct=0.004678264,,,,"Local artifacts exist, but this turn did not have enough exact code/config coverage to claim a true baseline rerun.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
flux_signal_engine_top20_2025_msft_residual_survivor,flux_signal_engine_top20_2025 :: MSFT residual survivor,native baseline rerun,blocked,,,,,"Exact local source code, config, or lineage is missing, so a 1:1 rerun is not currently possible.",low,C:\Users\rabisaab\Downloads\top10_authoritative_inventory.txt
project_smart_money_concepts_family,Project Smart Money Concepts Family,native baseline rerun,not_completed,"Best live-like row: META 1h, win_rate=56.6667, profit_factor=519.4958, expectancy=0.004409, trades=21",,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\project\outputs\deployment\phase5_candidate_registry.csv
project_sqzmom_lb_family,Project SQZMOM LB Family,native baseline rerun,not_completed,Phase-5 TSLA 30m family is watchlist-only with 51.2821% live-like OOS win rate and 16 trades.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\project\outputs\reports\phase5_deployment_report.md
project_supertrend_family,Project SuperTrend Family,native baseline rerun,not_completed,No final phase-5 leader packet found.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\project\strategies\supertrend.py
project_rsi_cyclic_smoothed_family,Project RSI Cyclic Smoothed Family,native baseline rerun,not_completed,No final phase-5 leader packet found.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\project\strategies\rsi_cyclic_smoothed.py
project_combo_consensus_family,Project Combo Consensus Family,native baseline rerun,not_completed,Many combo rows exist but no GO_PAPER candidate.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\project\strategies\combos.py
luxalgo_fvg_backtest_family,LuxAlgo FVG Backtest Family,native baseline rerun,not_completed,"Best daily row net_return=86.802013, profit_factor=1.526498; worst minute row net_return=-0.998235, max_drawdown=-1.000283",,,,"Local artifacts exist, but this turn did not have enough exact code/config coverage to claim a true baseline rerun.",low,C:\Users\rabisaab\fvg_backtest\results\summary_by_strategy_daily.csv
qqq_gap_prob_tool_signal_layer,QQQ Gap Probability Tool,native baseline rerun,not_completed,No validated >60% close-in-range holdout statement with healthy counts.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\qqq_gap_prob_tool\qqq_gap_prob_tool_report.md
qqq_range_engine_signal_layer,QQQ Range Engine,native baseline rerun,not_completed,No validated >60% holdout statement met sample conditions.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\qqq_range_engine\qqq_range_engine_report.md
qqq_same_day_scan_signal_layer,QQQ Same-Day Scan,native baseline rerun,not_completed,Holdout predictive effects were modest.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\qqq_scan\qqq_same_day_scan_report.md
qqq_today_nowcast_signal_layer,QQQ Today Nowcast,native baseline rerun,not_completed,No backtest packet found.,,,,"Runnable local family exists, but only the standardized 5-year user-subset tournament was executed; the native baseline rerun remains pending.",low,C:\Users\rabisaab\qqq_today_nowcast\today_nowcast.md
