observed_on,category,shortlist_tier,repo,repo_url,primary_language,stars_display,stars_estimated,last_updated_display,discovery_source,user_source,stocks_support,options_support,greeks_support,license_if_observed,use_case,key_points,caveats
2026-04-10,Core Python framework,Strong niche,brokermr810/QuantDinger,https://github.com/brokermr810/QuantDinger,Python,1.1k,1100,"Apr 9, 2026",GitHub topic: backtesting (Python),User topic link,Yes,No,No,,AI-driven research/backtesting/live execution,"Very active quantitative platform for research, backtesting, market data, and live execution.",AI/platform scope may be overkill for simple strategy tests.
2026-04-10,Core Python framework,Strong niche,TreborNamor/TradingView-Machine-Learning-GUI,https://github.com/TreborNamor/TradingView-Machine-Learning-GUI,Python,931,931,"Mar 26, 2026",GitHub topic: backtesting (Python),User topic link,Yes,No,No,,TradingView-style strategy lab,"Terminal-first lab for downloading market data, backtesting Python strategies with Pine-like behavior, and optimizing SL/TP.",More of a focused strategy lab than a general-purpose framework.
2026-04-10,Options-specific backtesting,Top pick,goldspanlabs/optopsy,https://github.com/goldspanlabs/optopsy,Python,1.3k,1300,"Apr 8, 2026",Direct repo page + GitHub topic: backtesting (Python),User direct repo link,Partial,Yes,Partial,AGPL-3.0,Options research and backtesting library,"Includes 38 built-in strategies, per-leg delta targeting, trade simulation, portfolio simulation, early exits, commissions, and detailed risk metrics.",AGPL-3.0 may matter for licensing/commercial use.
2026-04-10,Options-specific backtesting,Top pick,sirnfs/OptionSuite,https://github.com/sirnfs/OptionSuite,Python,284,284,7 days ago,Direct repo page + GitHub search,User direct repo link,Yes,Yes,Unclear,MIT,Event-driven options/stock backtester,"Modular framework with option primitives, strangle and put-vertical examples, CSV data handlers, and monitoring CSV output.",Older Python 2.7-era project; sample data is limited and the README expects purchased iVolatility data.
2026-04-10,Options-specific backtesting,Top pick,lambdaclass/options_portfolio_backtester,https://github.com/lambdaclass/options_portfolio_backtester,Python (+ Rust core),223,223,19 days ago,Direct repo page + GitHub search,User direct repo link,Yes,Yes,Yes,MIT,Greeks-aware stock/options portfolio backtesting,"Greeks-aware risk management, stock plus options allocation, optional Rust acceleration, realistic execution, and presets like strangle, iron condor, covered call, collar, and butterfly.","Smaller community than the biggest Python backtesting libraries, but highly relevant for options portfolios."
2026-04-10,Options-specific backtesting,Strong niche,randomwalkhan/Short-Term-Reversal-Strategy,https://github.com/randomwalkhan/Short-Term-Reversal-Strategy,Jupyter Notebook,135,135,6 hours ago,GitHub search: python options backtesting,Added GitHub search,Partial,Yes,Unclear,,Recent options quant research project,"Short-term reversal research project for option setups, universe selection, staged-entry backtesting, and live-trading hooks.",Research project rather than a mainstream library.
2026-04-10,Options-specific backtesting,Strong niche,m12t/bsm-time-machine,https://github.com/m12t/bsm-time-machine,Jupyter Notebook,68,68,"Oct 7, 2023",GitHub search: python options backtesting,Added GitHub search,No,Yes,No,,Black-Scholes options simulator,Black-Scholes-based options backtesting simulator.,"Notebook-style simulator with simplified assumptions, not a full-market microstructure backtester."
2026-04-10,Options-specific backtesting,Strong niche,AlexShakaev/backtesting_and_algotrading_options_with_Interactive_Brokers_API,https://github.com/AlexShakaev/backtesting_and_algotrading_options_with_Interactive_Brokers_API,Jupyter Notebook,57,57,"Oct 11, 2023",GitHub search: python options backtesting,Added GitHub search,No,Yes,Unclear,,IB API options backtesting + algo trading,Connects backtesting ideas to Interactive Brokers options workflows.,Notebook/project style and broker-specific.
2026-04-10,Options-specific backtesting,Strong niche,anthonymakarewicz/volatility-trading,https://github.com/anthonymakarewicz/volatility-trading,Jupyter Notebook,23,23,8 days ago,GitHub search: python options backtesting,Added GitHub search,Partial,Yes,Unclear,,Volatility research/backtesting,Systematic volatility research and backtesting for equity options.,Narrower scope and smaller project footprint.
2026-04-10,Options-specific backtesting,Reference,OptionsnPython/Option-strategies-backtesting-in-Python,https://github.com/OptionsnPython/Option-strategies-backtesting-in-Python,Jupyter Notebook,166,166,"Mar 13, 2021",GitHub search: python options backtesting,Added GitHub search,Unclear,Yes,Yes,,Book companion code/reference,"Notebook/code repository tied to the book ""Option Greeks Strategies & Backtesting in Python.""","Useful as reference material, not as a production-ready framework."
2026-04-10,Options-specific backtesting,Reference,auto-d1dact/spx_options_backtesting,https://github.com/auto-d1dact/spx_options_backtesting,HTML,14,14,"Feb 15, 2018",GitHub search: python options backtesting,Added GitHub search,No,Yes,No,,SPX put strategy tests,Python scripts for backtesting SPX put strategies using Black-Scholes proxies.,Older repo and proxy-based modeling.
2026-04-10,Options-specific backtesting,Reference,EliMLevy/Stock-Options-Backtesting,https://github.com/EliMLevy/Stock-Options-Backtesting,Python,6,6,"Apr 9, 2024",GitHub search: python options backtesting,Added GitHub search,Partial,Yes,Unclear,,Python + UI experiment,Python code and a React app for backtesting stock options strategies.,Looks more prototype-like than framework-like.
2026-04-10,Options-specific backtesting,Reference,LSEG-API-Samples/Article.EikonAPI.RDP.Python.OptionStrategyBacktesting,https://github.com/LSEG-API-Samples/Article.EikonAPI.RDP.Python.OptionStrategyBacktesting,Jupyter Notebook,5,5,"Jan 12, 2022",GitHub search: python options backtesting,Added GitHub search,No,Yes,Unclear,,Vendor sample notebook,Useful sample notebook for option-strategy backtesting with LSEG/Eikon/RDP data.,"Sample/article repo, not a full reusable library."
2026-04-10,Options-specific backtesting,Reference,bhanukaranwal/Option-Forge,https://github.com/bhanukaranwal/Option-Forge,Python,4,4,"Jul 28, 2025",GitHub search: python options backtesting,Added GitHub search,No,Yes,Unclear,,Design/backtest complex options strategies,"Open-source platform for designing, backtesting, and analyzing complex options strategies.",Very early-stage small community project.
2026-04-10,Greeks / research-adjacent,Top pick,AmirDehkordi/OptionGreeks,https://github.com/AmirDehkordi/OptionGreeks,Jupyter Notebook,19,19,"Jun 12, 2023",Direct repo page + GitHub search,User direct repo link,No,Yes,Yes,,Learning + visualization,"Notebook covering Delta, Gamma, Theta, Vega, Rho, plus higher-order Greeks like Vomma, Charm, Vanna, and Speed with 2D/3D visualizations.","Educational notebook, not a backtesting engine."
2026-04-10,Greeks / research-adjacent,Strong niche,saimanish-p/options-pricing-and-greeks,https://github.com/saimanish-p/options-pricing-and-greeks,Python,4,4,"Mar 14, 2025",GitHub topic: options-greeks,User topic link,No,Yes,Yes,,Interactive pricing/Greeks toolkit,Interactive Python toolkit for option pricing and Greeks across Black-Scholes and Monte Carlo models.,Research/education oriented and still small.
2026-04-10,Greeks / research-adjacent,Strong niche,SuryanshGarg12/OptionAnomalyDetection,https://github.com/SuryanshGarg12/OptionAnomalyDetection,Jupyter Notebook,3,3,"May 20, 2025",GitHub topic: options-greeks,User topic link,No,Yes,Yes,,Option-chain anomaly detection,"Detects IV spikes, mispricings, spread widenings, and gamma spikes; outputs CSV files and diagnostic plots.","Adjacency tool for research pipelines, not a backtesting framework."
2026-04-10,Greeks / research-adjacent,Reference,JesusAlMM/Volatility-Surface,https://github.com/JesusAlMM/Volatility-Surface,Python,0,0,"Apr 26, 2025",GitHub topic: options-greeks,User topic link,No,Yes,Yes,,IV surface + Greeks visualization,Streamlit app that computes and visualizes implied-volatility surfaces and option Greeks.,"Visualization tool, not a backtesting framework."
2026-04-10,JS auxiliary from user link,Reference,Mathieu2301/TradingView-API,https://github.com/Mathieu2301/TradingView-API,JavaScript,3k,3000,"Mar 1, 2026",GitHub topic: backtesting (JavaScript),User topic link,Yes,No,No,,Realtime market-data helper,Real-time stock data from TradingView; useful as a JS-side data companion when prototyping.,"JavaScript and primarily data-access oriented, not a Python backtester."
2026-04-10,JS auxiliary from user link,Reference,GuntharDeNiro/gunbot-quant,https://github.com/GuntharDeNiro/gunbot-quant,JavaScript,43,43,"Aug 19, 2025",GitHub topic: backtesting (JavaScript),User topic link,Yes,No,No,,JS quant toolkit,Toolkit for quantitative analysis of stock/crypto markets with a market screener and portfolio backtester.,"JavaScript auxiliary, not Python-first."
2026-04-10,JS auxiliary from user link,Reference,Aman9723/morning-trend-strategy,https://github.com/Aman9723/morning-trend-strategy,JavaScript,3,3,"Feb 19, 2023",GitHub topic: backtesting (JavaScript),User topic link,Yes,No,No,,JS backtesting strategy example,Intraday morning-trend strategy example for backtesting NSE stocks.,Small JavaScript example repo.
