strategy_name,canonical_name,source_name,source_title,source_url,source_type,collection_method,is_live_fetched,strategy_family,classification,is_options_buying_strategy,dedupe_key,source_notes
Long Christmas Tree Spread with Calls,long christmas tree spread,Fidelity,Long Christmas Tree Spread with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-christmas-tree-spread-calls,strategy_page,manual_public_reference,false,butterfly,net_debit_spread,true,long_christmas_tree_spread,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Christmas Tree Spread with Puts,long christmas tree spread,Fidelity,Long Christmas Tree Spread with Puts,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-christmas-tree-spread-puts,strategy_page,manual_public_reference,false,butterfly,net_debit_spread,true,long_christmas_tree_spread,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Christmas Tree Spread Variation with Calls,long christmas tree spread variation,Fidelity,Long Christmas Tree Spread Variation with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-christmas-tree-spread-variation-calls,strategy_page,manual_public_reference,false,butterfly,net_debit_spread,true,long_christmas_tree_spread_variation,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Christmas Tree Spread Variation with Puts,long christmas tree spread variation,Fidelity,Long Christmas Tree Spread Variation with Puts,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-christmas-tree-spread-variation-puts,strategy_page,manual_public_reference,false,butterfly,net_debit_spread,true,long_christmas_tree_spread_variation,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Condor Spread with Calls,long condor,Fidelity,Long Condor Spread with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-condor-spread-calls,strategy_page,manual_public_reference,false,condor,net_debit_spread,true,long_condor,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Condor Spread with Puts,long condor,Fidelity,Long Condor Spread with Puts,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-condor-spread-puts,strategy_page,manual_public_reference,false,condor,net_debit_spread,true,long_condor,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Diagonal Spread with Calls,long diagonal spread,Fidelity,Long Diagonal Spread with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-diagonal-spread-calls,strategy_page,manual_public_reference,false,diagonal,net_debit_spread,true,long_diagonal_spread,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Diagonal Spread with Puts,long diagonal spread,Fidelity,How to Use the Strategy Evaluator,https://www.fidelity.com/webcontent/ap002390-mlo-content/20.04/pdf/strategyEvaluatorHowTo.pdf,quickguide,manual_public_reference,false,diagonal,net_debit_spread,true,long_diagonal_spread,Public Fidelity strategy-evaluator quickguide explicitly listed the put diagonal variant.
Long Iron Butterfly Spread,long iron butterfly,Fidelity,Long Iron Butterfly Spread,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-iron-butterfly-spread,strategy_page,manual_public_reference,false,butterfly,net_debit_spread,true,long_iron_butterfly,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Iron Condor Spread,long iron condor,Fidelity,Long Iron Condor Spread,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-iron-condor-spread,strategy_page,manual_public_reference,false,condor,net_debit_spread,true,long_iron_condor,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
1x2 Ratio Volatility Spread with Calls,long ratio backspread,Fidelity,1x2 Ratio Volatility Spread with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/1x2-ratio-volatility-spread-calls,strategy_page,manual_public_reference,false,backspread,net_debit_spread,true,long_ratio_backspread,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
1x2 Ratio Volatility Spread with Puts,long ratio backspread,Fidelity,1x2 Ratio Volatility Spread with Puts,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/1x2-ratio-volatility-spread-puts,strategy_page,manual_public_reference,false,backspread,net_debit_spread,true,long_ratio_backspread,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Skip-Strike Butterfly Spread with Calls,long skip-strike butterfly,Fidelity,Long Skip-Strike Butterfly Spread with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-skip-strike-butterfly-spread-calls,strategy_page,manual_public_reference,false,butterfly,exclude,false,long_skip_strike_butterfly,Public Fidelity strategy-guide URL discovered from search indexing; kept for manual-review audit because the economic profile is not clearly debit-only.
Long Skip-Strike Butterfly Spread with Puts,long skip-strike butterfly,Fidelity,Long Skip-Strike Butterfly Spread with Puts,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-skip-strike-butterfly-spread-puts,strategy_page,manual_public_reference,false,butterfly,exclude,false,long_skip_strike_butterfly,Public Fidelity strategy-guide URL discovered from search indexing; kept for manual-review audit because the economic profile is not clearly debit-only.
Long Straddle,long straddle,Fidelity,Long Straddle,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-straddle,strategy_page,manual_public_reference,false,straddle,pure_long_premium,true,long_straddle,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Long Strangle,long strangle,Fidelity,Long Strangle,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-strangle,strategy_page,manual_public_reference,false,strangle,pure_long_premium,true,long_strangle,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Married Put,protective put,Fidelity,Married Put,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/married-put,strategy_page,manual_public_reference,false,single_leg,hybrid_or_protective,true,protective_put,Public Fidelity strategy-guide URL discovered from search indexing; direct requests were bot-protected.
Bear Call Spread (Credit Call Spread),bear call spread,OIC,Bear Call Spread (Credit Call Spread),https://www.optionseducation.org/strategies/all-strategies/bear-call-spread-credit-call-spread,strategy_page,live_html_fetch,true,vertical,exclude,false,bear_call_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Bear Put Spread,bear put spread,OIC,Bear Put Spread,https://www.optionseducation.org/strategies/all-strategies/bear-put-spread,strategy_page,live_html_fetch,true,vertical,net_debit_spread,true,bear_put_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Bull Call Spread (Debit Call Spread),bull call spread,OIC,Bull Call Spread (Debit Call Spread),https://www.optionseducation.org/strategies/all-strategies/bull-call-spread-debit-call-spread,strategy_page,live_html_fetch,true,vertical,net_debit_spread,true,bull_call_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Bull Put Spread (Credit Put Spread),bull put spread,OIC,Bull Put Spread (Credit Put Spread),https://www.optionseducation.org/strategies/all-strategies/bull-put-spread-credit-put-spread,strategy_page,live_html_fetch,true,vertical,exclude,false,bull_put_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Cash-Backed Call (Cash-Secured Call),cash-backed call,OIC,Cash-Backed Call (Cash-Secured Call),https://www.optionseducation.org/strategies/all-strategies/cash-backed-call-cash-secured-call,strategy_page,live_html_fetch,true,single_leg,exclude,false,cash_backed_call,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Cash-Secured Put,cash-secured put,OIC,Cash-Secured Put,https://www.optionseducation.org/strategies/all-strategies/cash-secured-put,strategy_page,live_html_fetch,true,single_leg,exclude,false,cash_secured_put,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Collar (Protective Collar),collar,OIC,Collar Protective Collar | Options Education,https://www.optionseducation.org/strategies/all-strategies/collar-protective-collar,strategy_page,live_html_fetch,true,collar,hybrid_or_protective,true,collar,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Covered Call (Buy/Write),covered call,OIC,Covered Call (Buy/Write),https://www.optionseducation.org/strategies/all-strategies/covered-call-buy-write,strategy_page,live_html_fetch,true,single_leg,exclude,false,covered_call,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Covered Put,covered put,OIC,Covered Put,https://www.optionseducation.org/strategies/all-strategies/covered-put,strategy_page,live_html_fetch,true,single_leg,exclude,false,covered_put,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Covered Ratio Spread,covered ratio spread,OIC,Covered Ratio Spread,https://www.optionseducation.org/strategies/all-strategies/covered-ratio-spread,strategy_page,live_html_fetch,true,backspread,exclude,false,covered_ratio_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Covered Strangle (Covered Combination),covered strangle,OIC,Covered Strangle (Covered Combination),https://www.optionseducation.org/strategies/all-strategies/covered-strangle-covered-combination,strategy_page,live_html_fetch,true,strangle,exclude,false,covered_strangle,Primary live-fetched OIC strategy page used as the core inventory and detail source.
"Bear Spread Spread (Double Bear Spread, Combination Bear Spread)",double bear spread,OIC,"Bear Spread Spread (Double Bear Spread, Combination Bear Spread)",https://www.optionseducation.org/strategies/all-strategies/bear-spread-spread-double-bear-spread-combination,strategy_page,live_html_fetch,true,other,exclude,false,double_bear_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Double Bull Spread,double bull spread,OIC,Double Bull Spread,https://www.optionseducation.org/strategies/all-strategies/double-bull-spread,strategy_page,live_html_fetch,true,other,exclude,false,double_bull_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Call Butterfly,long butterfly,OIC,Long Call Butterfly,https://www.optionseducation.org/strategies/all-strategies/long-call-butterfly,strategy_page,live_html_fetch,true,butterfly,net_debit_spread,true,long_butterfly,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Put Butterfly,long butterfly,OIC,Long Put Butterfly,https://www.optionseducation.org/strategies/all-strategies/long-put-butterfly,strategy_page,live_html_fetch,true,butterfly,net_debit_spread,true,long_butterfly,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Call Calendar Spread (Call Horizontal),long calendar spread,OIC,Long Call Calendar Spread (Call Horizontal),https://www.optionseducation.org/strategies/all-strategies/long-call-calendar-spread-call-horizontal,strategy_page,live_html_fetch,true,calendar,net_debit_spread,true,long_calendar_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Put Calendar Spread (Put Horizontal),long calendar spread,OIC,Long Put Calendar Spread (Put Horizontal),https://www.optionseducation.org/strategies/all-strategies/long-put-calendar-spread-put-horizontal,strategy_page,live_html_fetch,true,calendar,net_debit_spread,true,long_calendar_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Buying Index Calls,long call,OIC,Buying Index Calls,https://www.optionseducation.org/strategies/all-strategies/buying-index-calls,strategy_page,live_html_fetch,true,single_leg,pure_long_premium,true,long_call,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Call,long call,OIC,Long Call,https://www.optionseducation.org/strategies/all-strategies/long-call,strategy_page,live_html_fetch,true,single_leg,pure_long_premium,true,long_call,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Call Condor,long condor,OIC,Long Call Condor,https://www.optionseducation.org/strategies/all-strategies/long-call-condor,strategy_page,live_html_fetch,true,condor,net_debit_spread,true,long_condor,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Put Condor,long condor,OIC,Long Put Condor,https://www.optionseducation.org/strategies/all-strategies/long-put-condor,strategy_page,live_html_fetch,true,condor,net_debit_spread,true,long_condor,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Iron Butterfly,long iron butterfly,OIC,Long Iron Butterfly,https://www.optionseducation.org/strategies/all-strategies/long-iron-butterfly,strategy_page,live_html_fetch,true,butterfly,net_debit_spread,true,long_iron_butterfly,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Condor,long iron condor,OIC,Long Condor,https://www.optionseducation.org/strategies/all-strategies/long-iron-condor,strategy_page,live_html_fetch,true,condor,net_debit_spread,true,long_iron_condor,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Buying Index Puts,long put,OIC,Buying Index Puts,https://www.optionseducation.org/strategies/all-strategies/buying-index-puts,strategy_page,live_html_fetch,true,single_leg,pure_long_premium,true,long_put,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Put,long put,OIC,Long Put,https://www.optionseducation.org/strategies/all-strategies/long-put,strategy_page,live_html_fetch,true,single_leg,pure_long_premium,true,long_put,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Ratio Call Spread,long ratio backspread,OIC,Long Ratio Call Spread,https://www.optionseducation.org/strategies/all-strategies/long-ratio-call-spread,strategy_page,live_html_fetch,true,backspread,net_debit_spread,true,long_ratio_backspread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Ratio Put Spread,long ratio backspread,OIC,Long Ratio Put Spread,https://www.optionseducation.org/strategies/all-strategies/long-ratio-put-spread,strategy_page,live_html_fetch,true,backspread,net_debit_spread,true,long_ratio_backspread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Stock,long stock,OIC,Long Stock,https://www.optionseducation.org/strategies/all-strategies/long-stock,strategy_page,live_html_fetch,true,synthetic,exclude,false,long_stock,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Straddle,long straddle,OIC,Long Straddle,https://www.optionseducation.org/strategies/all-strategies/long-straddle,strategy_page,live_html_fetch,true,straddle,pure_long_premium,true,long_straddle,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Long Strangle (Long Combination),long strangle,OIC,Long Strangle (Long Combination),https://www.optionseducation.org/strategies/all-strategies/long-strangle-long-combination,strategy_page,live_html_fetch,true,strangle,pure_long_premium,true,long_strangle,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Protective Put (Married Put),protective put,OIC,Protective Put (Married Put),https://www.optionseducation.org/strategies/all-strategies/protective-put-married-put,strategy_page,live_html_fetch,true,single_leg,hybrid_or_protective,true,protective_put,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Call Butterfly,short butterfly,OIC,Short Call Butterfly,https://www.optionseducation.org/strategies/all-strategies/short-call-butterfly,strategy_page,live_html_fetch,true,butterfly,exclude,false,short_butterfly,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Put Butterfly,short butterfly,OIC,Short Put Butterfly,https://www.optionseducation.org/strategies/all-strategies/short-put-butterfly,strategy_page,live_html_fetch,true,butterfly,exclude,false,short_butterfly,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Call Calendar Spread (Short Call Time Spread),short calendar spread,OIC,Short Call Calendar Spread (Short Call Time Spread),https://www.optionseducation.org/strategies/all-strategies/short-call-calendar-spread-short-call-time-spread,strategy_page,live_html_fetch,true,calendar,exclude,false,short_calendar_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Put Calendar Spread (Short Put Time Spread),short calendar spread,OIC,Short Put Calendar Spread (Short Put Time Spread),https://www.optionseducation.org/strategies/all-strategies/short-put-calendar-spread-short-put-time-spread,strategy_page,live_html_fetch,true,calendar,exclude,false,short_calendar_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
"Naked Call (Uncovered Call, Short Call)",short call,OIC,"Naked Call (Uncovered Call, Short Call)",https://www.optionseducation.org/strategies/all-strategies/naked-call-uncovered-call-short-call,strategy_page,live_html_fetch,true,single_leg,exclude,false,short_call,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Iron Butterfly,short iron butterfly,OIC,Short Iron Butterfly,https://www.optionseducation.org/strategies/all-strategies/short-iron-butterfly,strategy_page,live_html_fetch,true,butterfly,exclude,false,short_iron_butterfly,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Condor (Iron Condor),short iron condor,OIC,Short Condor (Iron Condor),https://www.optionseducation.org/strategies/all-strategies/short-condor,strategy_page,live_html_fetch,true,condor,exclude,false,short_iron_condor,Primary live-fetched OIC strategy page used as the core inventory and detail source.
"Naked Put (Uncovered Put, Short Put)",short put,OIC,"Naked Put (Uncovered Put, Short Put)",https://www.optionseducation.org/strategies/all-strategies/naked-put-uncovered-put-short-put,strategy_page,live_html_fetch,true,single_leg,exclude,false,short_put,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Ratio Call Spread,short ratio spread,OIC,Short Ratio Call Spread,https://www.optionseducation.org/strategies/all-strategies/short-ratio-call-spread,strategy_page,live_html_fetch,true,backspread,exclude,false,short_ratio_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Ratio Put Spread,short ratio spread,OIC,Short Ratio Put Spread,https://www.optionseducation.org/strategies/all-strategies/short-ratio-put-spread,strategy_page,live_html_fetch,true,backspread,exclude,false,short_ratio_spread,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Stock,short stock,OIC,Short Stock,https://www.optionseducation.org/strategies/all-strategies/short-stock,strategy_page,live_html_fetch,true,synthetic,exclude,false,short_stock,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Straddle,short straddle,OIC,Short Straddle,https://www.optionseducation.org/strategies/all-strategies/short-straddle,strategy_page,live_html_fetch,true,straddle,exclude,false,short_straddle,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Short Strangle,short strangle,OIC,Short Strangle,https://www.optionseducation.org/strategies/all-strategies/short-strangle,strategy_page,live_html_fetch,true,strangle,exclude,false,short_strangle,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Stock Repair (Covered Ratio Spread),stock repair,OIC,Stock Repair (Covered Ratio Spread),https://www.optionseducation.org/strategies/all-strategies/stock-repair,strategy_page,live_html_fetch,true,backspread,exclude,false,stock_repair,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Synthetic Long Put,synthetic long put,OIC,Synthetic Long Put,https://www.optionseducation.org/strategies/all-strategies/synthetic-long-put,strategy_page,live_html_fetch,true,synthetic,exclude,false,synthetic_long_put,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Synthetic Long Stock,synthetic long stock,OIC,Synthetic Long Stock,https://www.optionseducation.org/strategies/all-strategies/synthetic-long-stock,strategy_page,live_html_fetch,true,synthetic,exclude,false,synthetic_long_stock,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Synthetic Short Stock,synthetic short stock,OIC,Synthetic Short Stock,https://www.optionseducation.org/strategies/all-strategies/synthetic-short-stock,strategy_page,live_html_fetch,true,synthetic,exclude,false,synthetic_short_stock,Primary live-fetched OIC strategy page used as the core inventory and detail source.
Bear Put Spread,bear put spread,Schwab,How Could Vertical Spreads Help Your Strategy?,https://www.schwab.com/learn/story/how-could-vertical-spreads-help-your-strategy,learning_article,manual_article_mapping,false,vertical,net_debit_spread,true,bear_put_spread,"Accessible Schwab education article covering vertical spreads, including bear put spreads."
Bull Call Spread,bull call spread,Schwab,How Could Vertical Spreads Help Your Strategy?,https://www.schwab.com/learn/story/how-could-vertical-spreads-help-your-strategy,learning_article,manual_article_mapping,false,vertical,net_debit_spread,true,bull_call_spread,"Accessible Schwab education article covering vertical spreads, including bull call spreads."
Collar,collar,Schwab,Collaring Your Stock for Temporary Protection,https://www.schwab.com/learn/story/collaring-your-stock-temporary-protection,learning_article,manual_article_mapping,false,collar,hybrid_or_protective,true,collar,Accessible Schwab education article used as a corroborating source for collars.
Long Straddle,long straddle,Schwab,Straddles vs. Strangles Options Strategies,https://www.schwab.com/learn/story/straddles-vs-strangles-options-strategies,learning_article,manual_article_mapping,false,straddle,pure_long_premium,true,long_straddle,Accessible Schwab education article discussing long straddles versus long strangles.
Long Strangle,long strangle,Schwab,Straddles vs. Strangles Options Strategies,https://www.schwab.com/learn/story/straddles-vs-strangles-options-strategies,learning_article,manual_article_mapping,false,strangle,pure_long_premium,true,long_strangle,Accessible Schwab education article discussing long straddles versus long strangles.
Protective Put,protective put,Schwab,Can Protective Puts Provide a Temporary Shield?,https://www.schwab.com/learn/story/can-protective-puts-provide-temporary-shield,learning_article,manual_article_mapping,false,single_leg,hybrid_or_protective,true,protective_put,Accessible Schwab education article used as a corroborating source for protective puts.
