strategy_name,canonical_name,aliases,source_name,source_title,source_url,source_type,strategy_family,classification,net_premium_type,directional_bias,volatility_bias,time_decay_bias,legs_summary,uses_calls,uses_puts,uses_stock,min_legs,max_legs,defined_risk,defined_reward,typical_outlook,entry_debit_or_credit,max_profit_summary,max_loss_summary,breakeven_summary,exercise_assignment_risk,american_assignment_relevant,common_use_case,complexity_level,margin_notes,notes,dedupe_key,is_options_buying_strategy,include_reason,exclude_reason
Long Skip-Strike Butterfly Spread with Calls,long skip-strike butterfly,,Fidelity,Long Skip-Strike Butterfly Spread with Calls,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-skip-strike-butterfly-spread-calls,strategy_page,butterfly,exclude,unknown,unknown,unknown,unknown,,true,false,false,4.0,4.0,false,false,,unknown,,,,,true,,advanced,Margin treatment depends on the short-option or stock components of the structure.,Public Fidelity strategy-guide URL discovered from search indexing; kept for manual-review audit because the economic profile is not clearly debit-only. Flagged for manual review instead of being silently dropped.,long_skip_strike_butterfly,false,,"Documented as a long butterfly-style structure, but the public source example was not clearly a debit-only buying strategy."
Long Skip-Strike Butterfly Spread with Puts,long skip-strike butterfly,,Fidelity,Long Skip-Strike Butterfly Spread with Puts,https://www.fidelity.com/learning-center/investment-products/options/options-strategy-guide/long-skip-strike-butterfly-spread-puts,strategy_page,butterfly,exclude,unknown,unknown,unknown,unknown,,false,true,false,4.0,4.0,false,false,,unknown,,,,,true,,advanced,Margin treatment depends on the short-option or stock components of the structure.,Public Fidelity strategy-guide URL discovered from search indexing; kept for manual-review audit because the economic profile is not clearly debit-only. Flagged for manual review instead of being silently dropped.,long_skip_strike_butterfly,false,,"Documented as a long butterfly-style structure, but the public source example was not clearly a debit-only buying strategy."
Long Stock,long stock,,OIC,Long Stock,https://www.optionseducation.org/strategies/all-strategies/long-stock,strategy_page,synthetic,exclude,unknown,bullish,unknown,unknown,"This strategy is simple. It consists of acquiring stock in anticipation of rising prices. The gains, if there are any, are realized only when the asset is sold. Until that time, the investor faces the possibility of partial or total loss of the investment, should the stock lose value. In some cases the stock may generate dividend income. In principle, this strategy imposes no fixed timeline. However, special circumstances could delay or accelerate an exit. For example, a margin purchase is subject to margin calls at any time, which could force a quick sale unexpectedly.",true,false,true,,,false,false,"The investor is bullish on the stock and/or the equity market as a whole. Some buyers are bullish in the long term, while others act in expectation of short-term gains. It is the investor's decision whether to buy and hold indefinitely, or to trade in and out in hopes of a quick profit. If an investor is bullish in the longer run but very concerned about a near-term correction, there may be other, more suitable alternatives than a standalone long stock strategy.",unknown,"Profits rise along with the stock's value. Theoretically, the best that can happen is for the stock to rise to infinity, in which case the gain would also be unlimited. Dividends, if there are any, add to the net profit.","The entire acquisition value is at risk. The worst that can happen is for the stock to become worthless, in which case the entire investment has been lost.","This strategy breaks even when the stock is trading at the price paid at the outset. Breakeven = purchase price of stock (An aside worth noting here: This strict definition of breakeven obviously ignores the time value of money. If a stock trades at its acquisition price years later, the result has to be seen as an economic loss, because of the capital the stock ties up and the risks involved.)",,false,"The stock buyer hopes to profit from gains in the stock's price, and, sometimes, with dividend income. Stock selection itself could be based on any number of reasons: a personal interest in this specific stock, employer incentives to accumulate shares, or a desire to diversify a portfolio, for example.",intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,long_stock,false,,Not classified as an options buying strategy under the conservative inclusion rules used for this catalog.
Short Call Butterfly,short butterfly,,OIC,Short Call Butterfly,https://www.optionseducation.org/strategies/all-strategies/short-call-butterfly,strategy_page,butterfly,exclude,credit,unknown,long_vol,mixed,This strategy tends to be successful if the underlying stock is outside the wings of the butterfly at expiration. Net Position (at expiration),true,false,true,4.0,4.0,false,false,The strategy is hoping to capture a movement to outside of the wings at the expiration of the options.,credit,The maximum profit would occur should the underlying stock be outside the wings at expiration. If the stock were below the lower strike all the options would expire worthless; if above the upper strike all the options would be exercised and offset each other for a zero profit. In either case the investor would pocket the premium received for initiating the position.,"The maximum loss would occur should the underlying stock be at the middle strike at expiration. In that case, the short call with the lower strike would be in-the-money and all the other options would expire worthless. The loss would be the difference between the lower and middle strike (the wing and the body), less the premium received for initiating the position.",The strategy breaks even if at expiration the underlying stock is above the lower strike or below the upper strike by the amount of premium received to initiate the position.,,true,"The investor is attempting to correctly predict an upcoming move in either direction, usually for a limited debit, if any.",advanced,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_butterfly,false,,Primarily premium-selling or net-credit structure.
Short Put Butterfly,short butterfly,,OIC,Short Put Butterfly,https://www.optionseducation.org/strategies/all-strategies/short-put-butterfly,strategy_page,butterfly,exclude,credit,unknown,long_vol,negative_theta,This strategy profits if the underlying stock is outside the wings of the butterfly at expiration. Net Position (at expiration),false,true,true,4.0,4.0,false,false,The investor is hoping for the underlying stock to be outside of the wings at expiration of options.,credit,The maximum gain would occur should the underlying stock be outside the wings at expiration. If the stock were above the upper strike all the options would expire worthless; if below the lower strike all the options would be exercised and offset each other for zero profit. In either case the investor would pocket the premium received for initiating the position.,"The maximum loss would occur should the underlying stock be at the middle strike at expiration. In that case the short put with the upper strike would be in-the-money and all the other options would expire worthless. The loss would be the difference between the upper and middle strike (the wing and the body), less the premium received for initiating the position, if any.",The strategy breaks even if at expiration the underlying stock is above the lower strike or below the upper strike by the amount of premium received to initiate the position.,"The short puts that form the wings of the butterfly are subject to exercise at any time, while the investor decides if and when to exercise the body.",true,To capture a move in the underlying or an increase in implied volatility during the life of the options.,advanced,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_butterfly,false,,Primarily premium-selling or net-credit structure.
Short Call Calendar Spread (Short Call Time Spread),short calendar spread,Short Call Time Spread,OIC,Short Call Calendar Spread (Short Call Time Spread),https://www.optionseducation.org/strategies/all-strategies/short-call-calendar-spread-short-call-time-spread,strategy_page,calendar,exclude,credit,volatility_up,short_vol,negative_theta,"This strategy profits from the different characteristics of near and longer-term call options. If the stock holds steady, the strategy suffers from time decay. If the underlying stock moves sharply up or down, both options will move toward their intrinsic value or zero, thus narrowing the difference between their values. If both options have the same strike price, the strategy should always receive a premium when initiating the position. Net Position (at expiration) Example Long 1 XYZ near 60 call Short 1 XYZ far 60 call MAXIMUM GAIN Net premium received MAXIMUM LOSS Unlimited",true,false,true,2.0,2.0,false,false,"The investor is looking for either a sharp move in either direction in the underlying stock during the life of the near-term option, or a sharp move downward in implied volatility.",credit,"The maximum gain would occur should the two options reach parity. This could happen if the underlying stock declined enough that both options became worthless, or if the stock rose enough that both options went deep in-the-money and traded at their intrinsic value. In either case, the gain would be the premium received when the position was initiated.","The maximum loss would occur should the underlying stock remain steady. If at the first expiration the stock is at the strike price of the expiring option, that option would expire worthless while the longer-term option would retain much of its time premium. In that situation, the loss would be the cost of buying back the longer-term option less the premium received when the position was initiated. If the near-term option expires worthless and the investor takes no action, the strategy becomes a naked call and there is no limit to the potential loss.","Since the options differ in their time to expiration, the level where the strategy breaks even is a function of the underlying stock price, implied volatility and rates of time decay.",,true,The investor hopes to profit from a sharp move in the stock price.,advanced,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_calendar_spread,false,,Primarily premium-selling or net-credit structure.
Short Put Calendar Spread (Short Put Time Spread),short calendar spread,Short Put Time Spread,OIC,Short Put Calendar Spread (Short Put Time Spread),https://www.optionseducation.org/strategies/all-strategies/short-put-calendar-spread-short-put-time-spread,strategy_page,calendar,exclude,credit,volatility_up,short_vol,negative_theta,"This strategy profits from the different characteristics of near- and longer-term put options. If the underlying stock holds steady, the strategy suffers from time decay. If the stock moves sharply up or down, both options will move toward their intrinsic value or zero, thus narrowing the difference between their values. If both options have the same strike price, the strategy will always receive a premium when initiating the position. Net Position (at expiration)",false,true,true,2.0,2.0,true,false,The investor is looking for a sharp move in either direction in the underlying stock during the life of the near-term option or a sharp move downward in implied volatility.,credit,"The maximum gain would occur should the two options reach parity. This could happen if the underlying stock rose enough that both options became worthless, or if the stock declined enough that both options went deep in-the-money and traded at their intrinsic value. In either case, the gain would be the premium received when the position was initiated.","The maximum loss would occur should the underlying stock remain steady. If at the first expiration the stock is at the strike price of the expiring option, that option would expire worthless while the longer-term option would retain much of its time premium. In that situation, the loss would be the cost of buying back the longer-term option less the premium received when the position was initiated. If the near-term option expires worthless and the investor takes no action, the strategy becomes a naked put whose potential loss is limited only because the stock cannot go below zero.","Since the options differ in their time to expiration, the level where the strategy breaks even is a function of the underlying stock price, implied volatility and rates of time decay.",,true,Profit from a sharp move in stock price.,advanced,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_calendar_spread,false,,Primarily premium-selling or net-credit structure.
"Naked Call (Uncovered Call, Short Call)",short call,Uncovered Call; Short Call,OIC,"Naked Call (Uncovered Call, Short Call)",https://www.optionseducation.org/strategies/all-strategies/naked-call-uncovered-call-short-call,strategy_page,single_leg,exclude,credit,bullish,short_vol,positive_theta,"This strategy consists of writing an uncovered call option. It profits if the stock price holds steady or declines, and does best if the option expires worthless.",true,false,true,2.0,2.0,false,true,"Looking for a steady or falling stock price during life of the option. In principle, an investor who expects an imminent and severe downturn could write a naked call despite being bullish on the stock's long term prospects. However, success would require being right about the extent and exact timing of the short-term correction, and a great deal of confidence, given the risks.",credit,"The maximum gain is very limited. The best that can happen is for expiration to arrive with the stock price below the strike price. In that case, the option expires worthless and the investor pockets the premium received for selling the call option.","The maximum loss is unlimited. The worst that can happen is for the stock to rise to infinity, in which case the investor would have to buy stock in the market at that undefinably high price and sell it at the strike price.","At expiration, the strategy breaks even if the stock price is above the strike price by the amount of the premium received; i.e., the option's intrinsic value equals the price at which the option was sold. Breakeven = strike + premium",There is tremendous assignment risk.,true,The only motive for writing an uncovered call option is to earn income from selling premium.,intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_call,false,,Primarily premium-selling or income-oriented rather than an options-buying strategy.
Short Iron Butterfly,short iron butterfly,,OIC,Short Iron Butterfly,https://www.optionseducation.org/strategies/all-strategies/short-iron-butterfly,strategy_page,butterfly,exclude,credit,unknown,short_vol,positive_theta,This strategy works better if the underlying stock is inside the wings of the iron butterfly at expiration. Net Position (at expiration) Example Long 1 XYZ 65 call Short 1 XYZ 60 call Short 1 XYZ 60 put Long 1 XYZ 55 put MAXIMUM GAIN Net premium received MAXIMUM LOSS High strike - middle strike - net premium received,true,true,true,4.0,4.0,false,false,The investor is looking for the underlying stock to trade in a narrow range during the life of the options.,credit,"The maximum gain would occur should the underlying stock be at the body of the butterfly at expiration. In that case all the options would expire worthless, and the premium received to initiate the position could be pocketed.","The maximum loss would occur should the underlying stock be outside the wings at expiration. In that case either both calls or both puts would be in-the-money. The loss would be the difference between the body and either wing, less the premium received for initiating the position.",The strategy breaks even if at expiration the underlying stock is either above or below the body of the butterfly by the amount of premium received to initiate the position.,"The short options that form the body of the butterfly are subject to exercise at any time, while the investor decides if and when to exercise the wings.",true,Earn income by predicting a period of neutral movement in the underlying.,advanced,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_iron_butterfly,false,,Primarily premium-selling or net-credit structure.
Short Condor (Iron Condor),short iron condor,Iron Condor,OIC,Short Condor (Iron Condor),https://www.optionseducation.org/strategies/all-strategies/short-condor,strategy_page,condor,exclude,credit,unknown,short_vol,positive_theta,This strategy profits if the underlying stock is inside the inner wings at expiration. Net Position (at expiration),false,false,true,4.0,4.0,false,false,The investor is hoping for underlying stock to trade in narrow range during the life of the options.,credit,"The maximum gain would occur should the underlying stock be between the lower call strike and upper put strike at expiration. In that case all the options would expire worthless, and the premium received to initiate the position could be pocketed.","The maximum loss would occur should the underlying stock be above the upper call strike or below the lower put strike at expiration. In that case either both calls or both puts would be in-the-money. The loss would be the difference between either the call strikes or the put strikes (whichever are in-the-money), less the premium received for initiating the position.",This strategy breaks even if at expiration the underlying stock is either above the lower call strike or below the upper put strike by the amount of the premium received to initiate the position. Upside breakeven = lower call strike + premiums received Downside breakeven = upper put strike - premiums received,"If an early exercise occurs at either shoulder, the investor can choose whether to close out the resulting position in the market or to exercise the appropriate wingtip.",true,The investor hopes the underlying stock will stay within a certain range by expiration.,advanced,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_iron_condor,false,,Primarily premium-selling or net-credit structure.
"Naked Put (Uncovered Put, Short Put)",short put,Uncovered Put; Short Put,OIC,"Naked Put (Uncovered Put, Short Put)",https://www.optionseducation.org/strategies/all-strategies/naked-put-uncovered-put-short-put,strategy_page,single_leg,exclude,credit,unknown,short_vol,positive_theta,A naked put involves writing a put option without the reserved cash on hand to purchase the underlying stock. This strategy entails a great deal of risk and relies on a steady or rising stock price. It does best if the option expires worthless.,false,true,true,2.0,2.0,true,true,"The investor is expecting a steady or rising stock price during life of option, and considers the likelihood of a decline very remote.",credit,"The maximum gains are very limited, especially relative to the extent of risk. If the position is still open at expiration, the best that can happen is for the stock price to be above the strike price. In that case, the option expires worthless and the investor pockets the premium received for selling the put option.","The maximum theoretical loss is limited, but it is very substantial. The worst that can happen is for the stock price to fall to zero, in which case the investor would be obligated to buy a worthless stock at the strike price. The effective purchase price, however, would be reduced somewhat by the premium received from selling the put option. It is conceivable that the investor might have to incur some additional expenses to come up with enough cash to honor the contract on the settlement day.","At expiration, the strategy breaks even if the stock price is below the strike price by the amount of the premium received, i.e., the option's intrinsic value equals the price at which the option was sold. Breakeven = strike – premium","The risk of assignment, whether early or at expiration, is this investor's chief worry since the investor has neither the ready cash for this purpose nor a desire to own the underlying stock.",true,The only motive for writing an uncovered put is to earn premium income.,intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_put,false,,Primarily premium-selling or income-oriented rather than an options-buying strategy.
Short Ratio Call Spread,short ratio spread,,OIC,Short Ratio Call Spread,https://www.optionseducation.org/strategies/all-strategies/short-ratio-call-spread,strategy_page,backspread,exclude,credit,volatility_up,short_vol,positive_theta,"This strategy can profit from a slight rise, a steady stock price, or from a falling implied volatility. The actual behavior of the strategy depends largely on the Delta, Theta and Vega of the combined position as well as whether a debit is paid or a credit received when initiating the position. Net Position (at expiration)",true,false,true,3.0,3.0,false,false,The investor is ideally hoping for a slow rally up to the strike where they have sold two calls or a sharp fall in implied volatility during the life of the options.,credit,"The maximum gain would occur should the underlying stock be at the upper strike price at expiration. In this case, the two short calls would expire worthless and the long call would be in-the-money. The gain would be the in-the-money amount, which is the difference between the strike prices, plus the credit received (or minus the debit paid) when the position was initiated.","The maximum loss would occur if the underlying stock went to infinity. If the strategy is analyzed as a bull call spread and a naked call combined, then when all the options go deep in-the-money, the bull call spread has a positive value equal to the difference between the strikes, and the naked call has a negative value equal to the difference between the stock's price and the upper strike price. Since there is no limit to the stock's upside potential, the option strategy's potential loss is also unlimited.","Consider the strategy at expiration across a range of prices for the underlying stock: below the lower strike all options are worthless; as the stock moves above the lower strike the long call goes into-the-money and creates a gain; as the stock moves above the upper strike the short calls go into-the-money and start to offset the gain; when the stock is above the upper strike by the difference between the strikes the gain has been eliminated. From that point, continue by the amount of the credit (or drop back by amount of debit) to find the breakeven level. Finally, note that for a debit position there will be a second breakeven level equal to the lower strike plus the debit. If established for a NET CREDIT there is one BEP: Upper Strike BEP = Upper Strike + Maximum Profit Potential (difference in strikes + Net Credit Received) If established for a NET DEBIT, there are two BEP’s: Lower Strike BEP = Lower Strike + Net Debit Paid Upper Strike BEP = Upper Strike + Maximum Profit Potential (difference in strikes – Net Debit Paid)",,true,"Profit from a limited stock move and/or falling implied volatility, and perhaps also earn income.",advanced,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_ratio_spread,false,,Primarily premium-selling or net-credit structure.
Short Ratio Put Spread,short ratio spread,,OIC,Short Ratio Put Spread,https://www.optionseducation.org/strategies/all-strategies/short-ratio-put-spread,strategy_page,backspread,exclude,credit,volatility_up,short_vol,positive_theta,"This strategy can profit from a slightly falling stock price, or from a rising stock price. The actual behavior of the strategy depends largely on the Delta, Theta and Vega of the combined position as well as whether a debit is paid or a credit received when initiating the position. Net Position (at expiration)",false,true,true,3.0,3.0,false,false,"The investor hopes for a slow move lower to the strike where they sold two puts, a limited trading range for the underlying product or a sharp fall in implied volatility during the life of the options.",credit,"The maximum gain would occur should the underlying stock be at the lower strike price at expiration. In this case, the two short puts expire worthless and the long put is in-the-money. The gain would be the in-the-money amount, which is the difference between the strike prices, plus the credit received (or minus the debit paid) when the position was initiated.","The maximum loss would occur should the underlying stock become worthless. If the strategy is analyzed as a bear put spread and a naked put combined, then when all the options go deep in-the-money the bear put spread has a positive value equal to the difference between the strikes, and the naked put has a negative value equal to the difference between lower strike price and the stock price.","Consider the strategy at expiration across a range of prices for the underlying stock: above the upper strike both options are worthless; as the stock moves below the upper strike the long put goes into the money and creates a gain; as the stock moves below the lower strike the short puts go into the money and start to offset the gain; when the stock is below the lower strike by the difference between the strikes the gain has been eliminated. From that point, move back up by the amount of the credit (or move lower by amount of debit) to find the breakeven level. For a debit position there will be a second breakeven level equal to the upper strike minus the debit. If the position is established for a NET CREDIT there is one BEP: Lower Strike BEP = Lower Strike – Maximum Profit Potential (difference in strikes + Net Credit Received) If established for a NET DEBIT there are two BEP’s Lower Strike BEP = Lower Strike – Maximum Profit Potential (difference in strikes – Net Debit Paid) Upper Strike BEP = Upper Strike – Net Debit Paid",,true,"Profit from limited stock move and/or falling implied volatility, and perhaps also earn income.",advanced,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_ratio_spread,false,,Primarily premium-selling or net-credit structure.
Short Stock,short stock,,OIC,Short Stock,https://www.optionseducation.org/strategies/all-strategies/short-stock,strategy_page,synthetic,exclude,credit,bearish,unknown,unknown,"Short stock is a candidate for bearish investors who wish to profit from a depreciation in the stock's price. The strategy involves borrowing stock through the brokerage firm and selling the shares in the marketplace at the prevailing price. The goal is to buy them back later at a lower price, thereby locking in a profit.",false,false,true,,,false,false,"The investor is bearish either in the short term or the longer term, or both, and expects a definite decline in the stock's price. Though the strategy does not involve a formal timetable as an option does, it may not be realistic to expect to be able to hold the position indefinitely. The investor is obligated to cover a short sale on very short notice, if asked.",credit,"The best that can happen is for the stock to become worthless. In that case, the investor can theoretically buy back the stock at no cost, return it to the stock lender, and keep the full initial short sale price.","The maximum loss is unlimited. The worst that can happen is for the stock to rise to infinity, in which case the loss would also become infinite. Whenever the position is closed out at a time when the stock is higher than the short selling price, the investor loses money. The short seller does not want to see the stock rally. An increase in the stock's price can trigger a margin call to post additional funds on deposit. In addition to margin issues, the short seller has to be concerned about the stock lender asking for the stock to be returned. If the stock rallies sharply (say, because of an acquisition rumor), there is an even greater risk of the owner demanding the shares back. Covering the short at such a time could result in large losses.",This strategy breaks even when the stock is trading at the price received at the time of the short sale. Breakeven = short selling price,,true,"Profit dollar for dollar from a decline in the stock's price. Bearish investors sell stock short primarily because they consider its market price to be significantly overvalued and due for a correction. If it is a standalone strategy (no other positions in the underlying), they are placing a great deal of capital at risk, so typically the opinion is strongly held.",intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_stock,false,,Primarily premium-selling or net-credit structure.
Short Straddle,short straddle,,OIC,Short Straddle,https://www.optionseducation.org/strategies/all-strategies/short-straddle,strategy_page,straddle,exclude,credit,volatility_up,unknown,positive_theta,This strategy involves selling a call option and a put option with the same expiration and strike price. It generally profits if the stock price and volatility remain steady.,true,true,true,2.0,2.0,false,true,"The strategy hopes for a steady stock price during the life of the options, and an even or declining level of implied volatility. Because of the substantial risk, should the stock price move out of the expected trading range, the opinion about the stock's near-term steadiness is likely to be fairly strongly held.",credit,"The maximum gain is limited to the premiums received at the outset. The best that can happen is for the stock price, at expiration, to be exactly at the strike price. In that case, both short options expire worthless, and the investor pockets the premium received for selling the options.","The maximum risk is unlimited. The worst that can happen is for the stock to rise to infinity, and the next-to-worst outcome is for the stock to fall to zero. In the first case, the loss is infinitely large; and in the second, the loss is the strike price. In either event, the loss is reduced by the amount of premium income received for selling the options. If the stock price is higher than the call strike, the investor will be assigned and therefore obligated to sell stock at the strike price and buy it in the market. If the stock price is lower than the put strike, the investor will be assigned and therefore be obligated to buy stock at the strike price, regardless of the lower market value. That means either liquidating it in the market for an immediate loss, or keeping a stock that cost more than its current market value.","This strategy breaks even if, at expiration, the stock price is either above or below the strike price by the total amount of premium income received. At either of those levels, one option's intrinsic value will equal the premium received for selling both options, while the other option will be expiring worthless. Upside breakeven = strike + premiums received Downside breakeven = strike - premiums received",,true,Earn income from selling premium.,intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_straddle,false,,Primarily premium-selling or net-credit structure.
Short Strangle,short strangle,,OIC,Short Strangle,https://www.optionseducation.org/strategies/all-strategies/short-strangle,strategy_page,strangle,exclude,credit,unknown,short_vol,positive_theta,This strategy tends to succeed if the stock price and volatility remain steady during the life of the options.,false,false,true,2.0,2.0,false,true,The investor is looking for a steady stock price during the life of the options.,credit,"The maximum gain is very limited. The maximum gain occurs if the underlying stock remains between the strike prices. In that case, both options expire worthless and the investor pockets the premium received for selling the options.","The maximum loss is unlimited. The maximum loss occurs if the stock goes to infinity, and a very substantial loss could occur if the stock became worthless. In both cases the loss is reduced by the amount of premium received for selling the options.","This strategy breaks even if, at expiration, the stock price is either above the call strike price or below the put strike price by the amount of premium received initially. At either of those levels, one option's intrinsic value will equal the premium received for selling both options while the other option will be expiring worthless. Upside breakeven = call strike + premiums received Downside breakeven = put strike - premiums received",,true,Earn income from selling premium.,intermediate,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,short_strangle,false,,Primarily premium-selling or net-credit structure.
Stock Repair (Covered Ratio Spread),stock repair,Covered Ratio Spread,OIC,Stock Repair (Covered Ratio Spread),https://www.optionseducation.org/strategies/all-strategies/stock-repair,strategy_page,backspread,exclude,variable,unknown,unknown,unknown,"Outlook & Motivation: Originally bullish and long shares, the investor is now looking to recover some or all of the original investment prior to exiting the long stock position as share prices have declined. With a forecast of a partial rebound over the next ninety days, and not willing to buy additional shares or invest additional cash, the investor decides to employ a Stock Repair strategy. While the options trade must be done in a margin account, if the trade is done for even money or a credit, no additional cash equity is required. Position Description & Example: Investor owns 100 shares at $45.00 per share, it has since declined to $35.00 per share, or about 20%. This is a combination of two bullish strategies; the Covered Call and a Bull Call Spread. Example Position Own 100 shares Long 100 Shares @ $45/share Buy 1 at-the-money call Long 1 90-day $35 call Sell 2 calls with higher strike Short 2 90-day $40 calls Position Summary: When selecting strikes for the Stock Repair Strategy, the increment between strike prices should represent about one half of stock loss. To determine how many option contracts, the options purchased should represent the equivalent number of shares originally purchased. A standard option contract typically controls 100 shares of stock, so one contract for every 100 shares owned. Ideally, the OTM calls sold would have a premium of about half the price of the purchased ATM options. As such, selling twice the amount of out of the money options covers the cost of buying the at the money option so the stock repair strategy costs next to nothing. Using longer dated options can often produce a net credit. Variations: Net Position (at expiration) The Covered Ratio Call Spread could be established as a single bullish strategy by simultaneously pairing a moderately bullish strategy Buy Write (buy stock, sell call) with a directional Bull Call Spread. Maximum Loss: Maximum loss is the original purchase price of the stock. There is risk in continued ownership of the stock in a declining market. Maximum Gain: While a profit is possible, the objective of this strategy is to recover most (or all) of the original investment. Breakeven: The objective of this strategy is to recover most or all of original investment by reducing the long stock breakeven point. In this example, the Break Even Point is with the stock at $40.00 on expiration compared to original $45.00 per share. Volatility: Somewhat neutral, at the money options are typically the most sensitive to changes in volatility. Time Decay: Typically helps the position, at expiration, options will only have intrinsic value. Assignment Risk: Although most option holders and writers close out their options positions by an offsetting closing transaction, spread traders should nonetheless be familiar with the rules and procedures applicable to exercise and assignment. An options writer needs to understand exercise procedures because of the possibility of being assigned an exercise. For many spread traders, the risk of assignment of an at-the-money or just out-of-the-money option in a ‘physical delivery’ contract is the rationale for closing out spread positions prior to expiration. Call writers should also take note of when ordinary dividends are paid. A call writer’s chances of being assigned an exercise may increase as the ex-date for a dividend on the underlying security approaches. Early assignment, while possible at any time, generally occurs only when the stock goes ex-dividend. Be forewarned, using the long call to cover the short call assignment will require establishing a short stock position for one business day, due to the delay in assignment notification. In the money options are usually exercised at expiration. Stock and Option Profit (Loss) Price Chart at Expiration Stock Price at Expiration Long 100 Shares @ $45.00 Long 1 90-day $35 call @ $5.00 Short 2 90-day $40 calls @ $2.50 ea. Net Profit (Loss) at Expiration $45.00 $0.00- +$5.00 -$5.00 $0.00 $44.00 -$1.00 +$4.00 -$3.00 $0.00 $43.00 -$2.00 +$3.00 -$1.00 $0.00 $42.00 -$3.00 +$2.00 +$1.00 $0.00 $41.00 -$4.00 +$1.00 +$3.00 $0.00 $40.00 -$5.00 $0.00 +$5.00 $0.00 $39.00 -$6.00 -$1.00 +$5.00 -$2.00 $38.00 -$7.00 -$2.00 +$5.00 -$4.00 $37.00 -$8.00 -$3.00 +$5.00 -$6.00 $36.00 -$9.00 -$4.00 +$5.00 -$8.00 $35.00 -$10.00 -$5.00 +$5.00 -$10.00 $34.00 -$11.00 -$5.00 +$5.00 -$11.00 $33.00 -$12.00 -$5.00 +$5.00 -$12.00 Options at Expiration Scenarios: All Options are In-the-Money at Expiration : Shares close above $40.00 per share . Long one $35 call option is in-the-money, and the short two $40 call options also expire in the money. Resulting position if underlying closes above $40 Call strike price: Provided all option positions are exercised and assigned, there would no longer be stock or option positions, and the trader has recovered original investment. Investors should determine from their brokerage firm the rules and procedures applicable to exercise, and the consequences of submitting exercise instructions. All Options are Out-of-the-Money at Expiration : Shares close below $35 per share. Resulting position if all options expire worthless and unexercised; investor owns 100 shares of stock at original purchase price. Loss is based on difference between purchase price of stock and current market value. Long Option In-the-Money , Short Options Out-of-the-Money at Expiration : Shares close in between call strike prices of $35 and $40. If the investor were to exercise the in-the-money $35 call it would require an additional $3,500 ($35 x 100) in cash to purchase 100 more shares of the stock, which was not original objective. If no options market action is taken, the investor will now have two hundred shares, and twice the amount of market risk The out-of-the-money $40 call options would typically expire worthless and unexercised. Investors should be familiar with the rules and procedures applicable to exercise, and the consequences of submitting exercise instructions. Expiration Risk : An option that expires unexercised becomes worthless. An option holder who intends to exercise an option before expiration must give exercise instructions to his brokerage firm before the firm’s cut-off time for accepting exercise instructions on the last trading day before expiration. Investors should be aware of their brokerage firm’s policies in this regard. Many brokerage firms accept standing instructions to exercise, or have procedures for the exercise of, every option which is in the money by a specified amount at expiration. Investors should determine from their brokerage firm the applicable cut-off times, the firm’s procedures for submitting exercise instructions, and whether any of their options are subject to automatic exercise. Investors should also determine whether the exercise of their options is subject to standing instructions of their brokerage firm, and, if so, they should discuss with the firm the potential consequences of such instructions. Related Position: The Covered Ratio Call Spread can be established as a single bullish strategy by simultaneously pairing a moderately bullish strategy Buy Write (buy stock, sell call) with a directional Bull Call Spread. Opposite Position: NA",false,false,true,3.0,3.0,false,false,,variable,,,,,true,,advanced,Stock financing or fully paid stock can drive capital needs alongside any option premium.,Primary live-fetched OIC strategy page used as the core inventory and detail source.,stock_repair,false,,"Documented options strategy, but not treated here as a core buying strategy because stock-acquisition or income mechanics dominate."
